period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2023-2025,2025-09-03,235.18299999999454,259.83700000000044,231.7229999999954,3.459999999999127,-0.02717281450522624,-86.57400000000507,276,0.6811594202898551,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-04,42.175999999999476,31.70599999999922,42.175999999999476,0.0,-0.017133543483126346,-54.80999999999949,276,0.13768115942028986,1.0,0.41304347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-05,156.08599999999842,124.65899999999783,155.5159999999987,0.569999999999709,-0.024109812228117256,-77.12700000000041,253,0.5138339920948617,1.0,0.7154150197628458,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-07,0.0,0.0,0.0,0.0,-0.024109812228117256,-77.12700000000041,23,0.0,1.0,1.0,0.782608695652174,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-08,123.72299999999723,156.92299999999705,120.97299999999723,2.75,-0.025469617266460798,-81.47700000000077,276,0.3695652173913043,1.0,0.6847826086956522,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-09,192.85750000000098,172.06250000000182,182.7325000000019,10.12499999999909,-0.02023202337739305,-64.72199999999975,276,0.4746376811594203,1.0,0.6521739130434783,0.9963768115942029,1.0,0.0,9.010000000000218,0.0,0.0
2023-2025,2025-09-10,72.26699999999983,81.35699999999997,72.26699999999983,0.0,-0.021526182655264514,-68.86199999999917,276,0.2210144927536232,1.0,0.43478260869565216,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-11,29.176000000001295,18.38600000000133,29.14900000000125,0.027000000000043656,-0.020763441438354735,-66.42199999999957,276,0.13405797101449277,1.0,0.15217391304347827,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-12,84.81200000000172,102.57500000000073,81.51900000000205,3.2929999999996653,-0.02107916628633799,-67.43199999999979,253,0.383399209486166,1.0,0.616600790513834,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-14,0.0,0.0,0.0,0.0,-0.015210747899023214,-48.65900000000056,23,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-15,86.74899999999707,123.49799999999868,85.77599999999711,0.9729999999999563,-0.015210747899023214,-48.65900000000056,276,0.37318840579710144,1.0,0.5543478260869565,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-16,117.26349999999866,105.91649999999709,112.08849999999848,5.175000000000182,-0.007192562561872395,-23.257000000000517,276,0.5072463768115942,1.0,0.7717391304347826,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-17,0.0,0.0,0.0,0.0,-0.007192562561872395,-23.257000000000517,276,0.0,0.967391304347826,0.21739130434782608,1.0,0.8876811594202898,0.0,0.0,0.0,0.0
2023-2025,2025-09-18,0.0,0.0,0.0,0.0,-0.007192562561872395,-23.257000000000517,276,0.0,0.0,0.021739130434782608,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-19,17.02300000000014,40.280000000000655,17.02300000000014,0.0,-0.007715219427743669,-24.947000000001026,253,0.2015810276679842,0.20553359683794467,0.5849802371541502,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-21,23.976000000002387,14.019000000002052,23.976000000002387,0.0,-0.0030594166552467827,-9.957000000000335,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-22,257.0950000000021,263.20200000000295,257.0950000000021,0.0,-0.008652162048774503,-28.790000000000873,276,0.9166666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-23,205.3675000000003,175.0074999999997,202.29749999999922,3.070000000001073,-0.012941908006588898,-44.01000000000022,276,0.4963768115942029,1.0,0.8913043478260869,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-24,0.0,0.0,0.0,0.0,-0.010060047100781788,-34.210000000000036,276,0.0,1.0,0.03260869565217391,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-25,104.1469999999972,58.449999999998,96.60699999999815,7.539999999999054,-0.02349804687758439,-79.90699999999924,276,0.15579710144927536,1.0,0.3804347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-26,213.56099999999606,239.50099999999475,211.64099999999598,1.9200000000000728,-0.029902835707021458,-101.68700000000081,253,0.5533596837944664,1.0,0.6679841897233202,1.0,1.0,0.0,10.799999999999272,0.0,0.0
