period,peak_ts,trough_ts,recovery_ts,peak_equity,trough_equity,max_dd_pct,max_dd_usd,to_trough_bars,to_recovery_bars
2023-2025,2023-03-12 22:15:00+00:00,2023-03-13 10:55:00+00:00,2023-03-13 13:45:00+00:00,1104.2770000000014,1052.5770000000011,-0.04681796324654064,-51.70000000000027,152.0,186.0
2023-2025,2025-12-23 02:45:00+00:00,2025-12-29 00:30:00+00:00,,4577.93949999999,4380.222499999986,-0.04318908102651964,-197.7170000000042,1701.0,
2023-2025,2025-10-09 13:25:00+00:00,2025-10-13 00:20:00+00:00,2025-10-13 15:55:00+00:00,3660.5304999999967,3508.876499999996,-0.04142951411004514,-151.65400000000045,995.0,1182.0
2023-2025,2025-04-22 06:15:00+00:00,2025-04-28 22:20:00+00:00,2025-05-06 01:40:00+00:00,2930.0800000000013,2811.270000000002,-0.04054838093157842,-118.80999999999949,1921.0,3977.0
2023-2025,2025-10-16 23:50:00+00:00,2025-10-17 01:45:00+00:00,2025-10-20 12:40:00+00:00,4056.2614999999955,3892.044499999995,-0.040484815882802616,-164.21700000000055,23.0,1018.0
2023-2025,2025-06-02 23:00:00+00:00,2025-06-12 11:40:00+00:00,2025-09-03 17:00:00+00:00,3186.0520000000047,3057.103000000004,-0.04047297407575279,-128.94900000000052,2744.0,26712.0
2023-2025,2025-09-30 06:35:00+00:00,2025-10-03 11:35:00+00:00,2025-10-06 02:10:00+00:00,3515.110499999997,3384.2334999999975,-0.037232684434813534,-130.8769999999995,924.0,1675.0
2023-2025,2025-10-20 20:00:00+00:00,2025-11-07 11:40:00+00:00,2025-11-11 00:35:00+00:00,4196.237499999996,4042.2609999999963,-0.03669394308591911,-153.9764999999993,5084.0,6103.0
2023-2025,2025-12-01 02:00:00+00:00,2025-12-11 03:25:00+00:00,2025-12-12 13:40:00+00:00,4442.722499999993,4297.049499999993,-0.0327891287380655,-145.67299999999977,2897.0,3308.0
2023-2025,2025-12-12 14:55:00+00:00,2025-12-15 05:10:00+00:00,2025-12-22 16:15:00+00:00,4456.885499999992,4311.022499999993,-0.032727562778985364,-145.86299999999937,747.0,2896.0
2023-2025,2024-04-05 17:10:00+00:00,2024-04-08 12:45:00+00:00,2024-04-09 09:25:00+00:00,1576.3174999999949,1524.8604999999936,-0.03264380430972913,-51.457000000001244,811.0,1059.0
2023-2025,2025-03-18 19:20:00+00:00,2025-03-27 06:45:00+00:00,2025-03-28 01:15:00+00:00,2150.3535000000065,2082.271500000004,-0.03166084088034937,-68.08200000000261,2441.0,2663.0
2023-2025,2025-01-07 13:55:00+00:00,2025-01-15 05:20:00+00:00,2025-01-21 02:10:00+00:00,1933.338499999996,1872.8564999999978,-0.03128370950043058,-60.48199999999815,2201.0,3891.0
2023-2025,2024-04-09 09:30:00+00:00,2024-04-11 06:25:00+00:00,2024-04-11 20:20:00+00:00,1584.8204999999937,1537.4174999999934,-0.029910642877222005,-47.40300000000025,539.0,706.0
2023-2025,2025-09-23 09:25:00+00:00,2025-09-26 10:50:00+00:00,2025-09-29 06:15:00+00:00,3400.5804999999973,3298.8934999999965,-0.029902835707021458,-101.68700000000081,881.0,1690.0
2023-2025,2023-10-18 13:45:00+00:00,2023-10-18 15:15:00+00:00,2023-10-19 17:20:00+00:00,1315.7539999999972,1280.263999999997,-0.026973127195509483,-35.49000000000024,18.0,331.0
2023-2025,2023-10-26 08:55:00+00:00,2023-11-02 14:10:00+00:00,2023-11-16 16:15:00+00:00,1376.6039999999964,1340.8919999999955,-0.025942100996365736,-35.7120000000009,2079.0,6136.0
2023-2025,2025-09-03 18:15:00+00:00,2025-09-08 10:55:00+00:00,2025-09-15 16:00:00+00:00,3198.987999999999,3117.510999999998,-0.025469617266460798,-81.47700000000077,1352.0,3429.0
2023-2025,2023-03-17 21:00:00+00:00,2023-03-20 05:20:00+00:00,2023-03-20 06:05:00+00:00,1182.8210000000015,1153.1200000000015,-0.02511030832222283,-29.701000000000022,676.0,685.0
2023-2025,2023-10-13 21:00:00+00:00,2023-10-17 12:35:00+00:00,2023-10-18 01:45:00+00:00,1275.6369999999965,1244.1939999999972,-0.02464886170595504,-31.4429999999993,1051.0,1209.0
2023-2025,2025-04-17 01:20:00+00:00,2025-04-17 01:55:00+00:00,2025-04-21 02:00:00+00:00,2697.900000000003,2631.950000000003,-0.02444493865599162,-65.94999999999982,7.0,1160.0
2023-2025,2025-05-23 17:30:00+00:00,2025-06-02 03:40:00+00:00,2025-06-02 07:20:00+00:00,3113.317000000005,3038.571000000004,-0.024008477132267947,-74.746000000001,2714.0,2758.0
2023-2025,2023-11-27 01:30:00+00:00,2023-11-28 14:45:00+00:00,2023-11-28 17:15:00+00:00,1402.5369999999964,1369.0299999999963,-0.02389027883043382,-33.50700000000006,447.0,477.0
2023-2025,2024-07-15 15:30:00+00:00,2024-07-16 12:55:00+00:00,2024-07-16 15:25:00+00:00,1702.771999999997,1664.1719999999966,-0.02266891868083365,-38.600000000000364,257.0,287.0
2023-2025,2025-05-06 02:20:00+00:00,2025-05-06 05:45:00+00:00,2025-05-06 13:00:00+00:00,2966.3100000000018,2899.6000000000026,-0.022489220614163363,-66.70999999999913,41.0,128.0
2023-2025,2023-10-20 09:20:00+00:00,2023-10-25 03:45:00+00:00,2023-10-25 15:45:00+00:00,1355.643999999997,1325.7569999999967,-0.022046348451363662,-29.8870000000004,1373.0,1517.0
2023-2025,2023-01-04 08:30:00+00:00,2023-01-06 16:20:00+00:00,2023-01-09 01:40:00+00:00,1042.3729999999996,1019.8249999999994,-0.02163141217203457,-22.54800000000023,670.0,1358.0
2023-2025,2025-11-25 02:50:00+00:00,2025-11-26 18:45:00+00:00,2025-12-01 02:00:00+00:00,4441.6724999999915,4348.69249999999,-0.020933555997206366,-92.98000000000138,479.0,1718.0
2023-2025,2025-11-19 15:15:00+00:00,2025-11-19 16:20:00+00:00,2025-11-24 20:40:00+00:00,4391.17949999999,4299.829499999992,-0.02080306669312848,-91.34999999999854,13.0,1505.0
2023-2025,2023-03-17 18:55:00+00:00,2023-03-17 19:45:00+00:00,2023-03-17 21:00:00+00:00,1176.8720000000014,1152.4940000000013,-0.020714232303937985,-24.378000000000156,10.0,25.0
2023-2025,2023-03-13 13:45:00+00:00,2023-03-13 14:00:00+00:00,2023-03-13 14:15:00+00:00,1104.7000000000012,1082.8340000000012,-0.019793609124649225,-21.865999999999985,3.0,6.0
2023-2025,2024-07-11 15:35:00+00:00,2024-07-15 13:10:00+00:00,2024-07-15 14:55:00+00:00,1687.4619999999966,1654.7249999999974,-0.01940014056612782,-32.73699999999917,1123.0,1144.0
2023-2025,2023-12-01 09:40:00+00:00,2023-12-01 17:05:00+00:00,2023-12-01 18:35:00+00:00,1425.369999999996,1397.842999999995,-0.019312178592225893,-27.527000000000953,89.0,107.0
2023-2025,2025-04-02 23:50:00+00:00,2025-04-03 00:20:00+00:00,2025-04-09 13:40:00+00:00,2271.190000000003,2227.4830000000024,-0.01924409670701277,-43.707000000000335,6.0,1894.0
2023-2025,2025-04-11 10:15:00+00:00,2025-04-11 10:55:00+00:00,2025-04-11 13:10:00+00:00,2450.1900000000032,2403.850000000002,-0.018912819005873382,-46.340000000001055,8.0,35.0
2023-2025,2025-04-10 05:05:00+00:00,2025-04-10 08:00:00+00:00,2025-04-10 14:40:00+00:00,2368.765000000002,2325.425000000002,-0.01829645405939384,-43.340000000000146,35.0,115.0
2023-2025,2023-11-16 16:15:00+00:00,2023-11-17 13:50:00+00:00,2023-11-21 03:55:00+00:00,1376.8059999999966,1351.6459999999968,-0.01827417951403465,-25.159999999999854,259.0,1292.0
2023-2025,2025-10-07 00:25:00+00:00,2025-10-07 07:10:00+00:00,2025-10-08 03:00:00+00:00,3573.1034999999974,3508.823499999997,-0.017989963067120973,-64.28000000000065,81.0,319.0
2023-2025,2023-11-21 04:05:00+00:00,2023-11-24 08:15:00+00:00,2023-11-27 01:10:00+00:00,1378.1759999999965,1353.5599999999965,-0.017861289124175728,-24.615999999999985,914.0,1693.0
2023-2025,2025-02-03 15:00:00+00:00,2025-02-05 01:45:00+00:00,2025-02-05 05:50:00+00:00,2095.273499999999,2057.883499999999,-0.017844925734038952,-37.38999999999987,417.0,466.0
2023-2025,2025-04-09 17:20:00+00:00,2025-04-09 18:15:00+00:00,2025-04-10 00:25:00+00:00,2289.4910000000023,2249.3500000000026,-0.017532717970937473,-40.14099999999962,11.0,85.0
2023-2025,2025-04-21 23:45:00+00:00,2025-04-22 00:15:00+00:00,2025-04-22 01:35:00+00:00,2819.0100000000016,2769.940000000002,-0.01740682012479544,-49.06999999999971,6.0,22.0
2023-2025,2025-03-28 07:00:00+00:00,2025-03-28 15:00:00+00:00,2025-03-31 02:10:00+00:00,2188.323500000003,2150.613500000003,-0.017232369894122135,-37.710000000000036,96.0,806.0
2023-2025,2025-04-01 05:35:00+00:00,2025-04-02 22:30:00+00:00,2025-04-02 23:15:00+00:00,2254.349000000004,2215.620000000003,-0.017179682471525348,-38.729000000000724,491.0,500.0
2023-2025,2025-04-11 16:15:00+00:00,2025-04-11 16:55:00+00:00,2025-04-15 04:00:00+00:00,2467.6100000000024,2426.060000000002,-0.016838155137967603,-41.55000000000018,8.0,1005.0
2023-2025,2025-04-16 08:25:00+00:00,2025-04-16 08:45:00+00:00,2025-04-16 14:05:00+00:00,2613.040000000003,2570.0100000000034,-0.016467409607200723,-43.029999999999745,4.0,68.0
2023-2025,2025-01-22 06:00:00+00:00,2025-01-23 21:20:00+00:00,2025-01-24 02:50:00+00:00,1992.0524999999996,1960.892499999997,-0.01564215802545499,-31.160000000002583,472.0,538.0
2023-2025,2023-03-13 15:30:00+00:00,2023-03-13 15:50:00+00:00,2023-03-13 17:20:00+00:00,1114.0770000000011,1097.6140000000014,-0.01477725507303329,-16.462999999999738,4.0,22.0
2023-2025,2025-04-21 14:10:00+00:00,2025-04-21 17:20:00+00:00,2025-04-21 22:20:00+00:00,2801.5900000000033,2760.580000000003,-0.014638116212579377,-41.01000000000022,38.0,98.0
2023-2025,2025-04-10 00:35:00+00:00,2025-04-10 01:40:00+00:00,2025-04-10 02:05:00+00:00,2304.4950000000017,2270.9050000000025,-0.01457586152280621,-33.589999999999236,13.0,18.0
2023-2025,2025-10-20 13:00:00+00:00,2025-10-20 14:05:00+00:00,2025-10-20 14:20:00+00:00,4087.1444999999953,4030.161499999995,-0.013942007677976709,-56.983000000000175,13.0,16.0
2023-2025,2025-01-24 15:30:00+00:00,2025-01-28 18:30:00+00:00,2025-01-30 09:00:00+00:00,2014.5324999999991,1987.5594999999992,-0.013389210648128036,-26.972999999999956,1188.0,1650.0
2023-2025,2025-04-11 13:45:00+00:00,2025-04-11 14:00:00+00:00,2025-04-11 15:55:00+00:00,2461.540000000002,2428.930000000002,-0.013247804220122172,-32.60999999999967,3.0,26.0
2023-2025,2025-10-06 08:10:00+00:00,2025-10-06 16:15:00+00:00,2025-10-06 22:20:00+00:00,3564.7434999999978,3517.9434999999967,-0.013128574327998965,-46.80000000000109,97.0,170.0
