iter,score,final_equity,cagr,vol,sharpe,max_drawdown,fast,slow,ema_fast,ema_slow,atr_n,sep_k,nochop_ema,nochop_lookback,nochop_min,htf_slope_on,htf_slope_ema,htf_slope_window,htf_slope_atr_mult,base_slope_on,base_slope_ema,base_slope_window
369,2.148044470326112,1.9331519119143283,0.26846319983746225,0.1043975201211482,2.3300825700903416,-0.09101904988211496,25,125,30,120,10,0.4,20,30,10,False,100,8,0.03,True,50,20
179,2.1475348692370844,1.8733916001396669,0.2541740811969553,0.10081107484088273,2.2969485978742643,-0.07470686431859008,25,200,50,120,14,0.15,15,15,10,False,100,3,0.02,True,100,30
859,2.1463719636996554,1.8754642057066588,0.2546744957712428,0.10031613224661971,2.311762536210646,-0.08269528625549516,30,125,50,120,20,0.2,30,25,13,True,100,6,0.04,False,200,30
589,2.1461644774423867,1.943671737921403,0.2709492175237309,0.10458938517360462,2.3447180625141057,-0.09927679253585953,30,75,20,200,14,0.4,20,30,10,False,50,4,0.03,True,100,30
376,2.145899478053521,1.8646049302849972,0.25204866827974914,0.10109655461503002,2.2739688712424893,-0.06403469659448413,30,200,50,120,20,0.3,15,25,12,True,200,3,0.03,False,100,10
426,2.143867822041458,1.8991280073142127,0.26036304386553244,0.10212416415937815,2.3169214040885704,-0.08652679102355598,20,200,30,250,10,0.3,20,25,14,False,50,8,0.02,True,100,10
235,2.1433465969997765,1.8631163810113476,0.251687968414378,0.09995409558356927,2.295929078050216,-0.07629124052521985,30,200,50,200,14,0.4,30,20,15,False,100,8,0.04,False,50,10
560,2.142790717578011,1.950365478253373,0.2725265900908642,0.10669866443779155,2.3120808188723103,-0.08464505064714956,25,100,30,200,14,0.35,15,30,10,True,100,6,0.01,False,100,20
750,2.1404699551625166,1.714737168181975,0.2147665920807591,0.0877683172368854,2.2605275316953497,-0.060028788266416555,25,150,80,200,10,0.15,30,20,15,True,100,10,0.03,True,50,20
497,2.1398423289237676,1.7558124145959937,0.22518540845300117,0.09191082355525955,2.255613143087516,-0.057885407081874174,20,50,80,200,20,0.15,15,30,15,False,30,4,0.02,False,200,30
331,2.1390834249685096,1.8934405130410752,0.2589999803044558,0.10176452625287963,2.3141166277072682,-0.08751660136937944,15,75,30,150,10,0.2,20,20,11,True,50,6,0.01,True,100,30
220,2.1382430069083265,1.9987827476855502,0.28383432172112877,0.11069685755822099,2.3124179533838762,-0.08708747323777499,20,150,30,150,10,0.4,30,20,11,False,30,6,0.03,True,200,20
301,2.1374678128116202,1.9349069728183446,0.26887855120419757,0.10382996997862186,2.3454028337363853,-0.1039675104623825,30,125,50,120,10,0.35,30,25,14,True,100,4,0.015,False,200,20
507,2.1367053405611856,1.865616888570812,0.25229377725455193,0.098883060053096,2.3246151007496216,-0.09395488009421804,10,125,50,150,14,0.4,15,30,13,True,50,10,0.04,False,200,10
114,2.1330126797102955,1.7440009522894557,0.22220551251023513,0.08745406707216682,2.338143738969563,-0.10256552962963372,25,100,80,120,10,0.35,30,20,13,True,30,3,0.02,False,100,10
45,2.131509241435653,2.0252199881321196,0.2899348919062308,0.1114330757994787,2.340415708211137,-0.10445323338774193,15,150,50,150,10,0.25,20,30,10,False,100,3,0.02,False,100,10
218,2.1313870942649027,1.642096073702427,0.1959433646923543,0.08039045666377657,2.26601063612012,-0.06731177092760887,25,150,20,120,10,0.3,15,15,11,True,200,3,0.04,False,50,20
325,2.1309073844297446,1.7771730345630143,0.2305420713331261,0.09154018006393419,2.312030473578602,-0.09056154457442889,25,100,80,120,10,0.3,30,15,12,False,200,10,0.02,True,100,30
674,2.1295597254862386,1.7928004126305612,0.23443497774627464,0.09407137296448015,2.2858963523380793,-0.07816831342592023,10,50,50,250,20,0.25,20,30,12,True,200,6,0.015,False,200,10
571,2.1292078765250286,1.8085138669160836,0.23832751683904219,0.09571622275254069,2.281137458735968,-0.07596479110546972,10,50,50,200,20,0.2,20,30,10,True,30,8,0.015,True,50,10
729,2.1279725450828986,1.8580472692784966,0.25045825601807836,0.10042962489165738,2.275746394501906,-0.07388692470950387,20,100,80,120,20,0.15,20,30,11,True,30,4,,False,50,30
319,2.1261692626566315,1.7873930481786502,0.23309042265028856,0.09467477959612193,2.2604151126364367,-0.06712292498990269,20,125,80,150,14,0.2,30,20,14,True,200,4,0.01,True,50,30
35,2.123886515160695,1.7776269441549777,0.2306554517893069,0.09396781670464119,2.255679054302824,-0.06589626957106431,15,50,20,250,20,0.27,20,20,13,False,30,6,0.02,False,100,10
746,2.1231453382053207,1.9527675501613404,0.27309179188806265,0.10654481574673196,2.3194319782069726,-0.09814332000082582,30,150,30,250,14,0.33,20,25,14,False,30,6,0.01,True,200,30
585,2.1212052356174533,1.857253274003248,0.2502654470543004,0.09945484133356193,2.295522820464267,-0.08715879242340663,10,50,20,250,10,0.4,15,30,11,False,100,10,0.02,True,100,20
675,2.1194948931091426,1.9011723334099122,0.26085234900273746,0.10412746032231292,2.278058605583201,-0.0792818562370291,15,100,30,200,10,0.27,15,30,13,True,200,4,0.015,True,100,20
