variant,period,seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe
baseline_no_shock,2021-2022,287,2021-09-21 14:05:00+00:00,2021-09-21 19:20:00+00:00,2.0,64,0.003470066097151836,-0.0021813939015377093,0.014325708689509442
baseline_no_shock,2021-2022,289,2021-09-22 07:20:00+00:00,2021-09-22 09:00:00+00:00,2.0,21,-0.00527841684048902,-0.007929505354038358,0.0023559138876005914
baseline_no_shock,2021-2022,291,2021-09-30 16:20:00+00:00,2021-09-30 20:05:00+00:00,2.0,46,-0.0028254212494304154,-0.004867229574214371,0.004175589997530427
baseline_no_shock,2021-2022,293,2021-10-01 03:35:00+00:00,2021-10-01 04:45:00+00:00,2.0,15,-0.0009156298662984508,-0.004400366067715211,0.0
baseline_no_shock,2021-2022,295,2021-10-01 14:50:00+00:00,2021-10-01 19:10:00+00:00,2.0,53,-0.00197220728941494,-0.005131245919113625,0.0067186097645950404
baseline_no_shock,2021-2022,297,2021-10-03 22:35:00+00:00,2021-10-04 03:05:00+00:00,2.0,55,-0.008899928324898498,-0.009196068188053852,0.0016102605059094
baseline_no_shock,2021-2022,299,2021-10-04 18:50:00+00:00,2021-10-05 01:30:00+00:00,2.0,69,-0.0030518435421543755,-0.0050425414857062645,0.005372924548068259
baseline_no_shock,2021-2022,301,2021-10-05 20:50:00+00:00,2021-10-05 22:30:00+00:00,2.0,9,0.0005185231373368016,0.0,0.0008438893736040232
baseline_no_shock,2021-2022,303,2021-10-06 16:35:00+00:00,2021-10-07 00:45:00+00:00,2.0,87,0.0013368413700847182,-0.003294292127963727,0.0040714600773323895
baseline_no_shock,2021-2022,305,2021-10-08 11:20:00+00:00,2021-10-08 15:55:00+00:00,2.0,56,-0.008790729231586747,-0.010420202850736415,0.0339595412938114
baseline_no_shock,2021-2022,307,2021-10-12 07:05:00+00:00,2021-10-12 09:00:00+00:00,2.0,24,-0.008906621015871918,-0.010601548259917326,0.0
baseline_no_shock,2021-2022,309,2021-10-12 11:10:00+00:00,2021-10-12 17:00:00+00:00,2.0,71,-0.003242731787567621,-0.015177125903103272,0.01150646763330454
baseline_no_shock,2021-2022,311,2021-10-13 05:50:00+00:00,2021-10-13 20:10:00+00:00,2.0,173,0.0567766187460057,-0.006162793634575614,0.063635180916499
baseline_no_shock,2021-2022,313,2021-10-13 23:20:00+00:00,2021-10-14 01:10:00+00:00,2.0,23,-0.0018556932497579837,-0.0024742576663441262,0.0
baseline_no_shock,2021-2022,315,2021-10-14 10:35:00+00:00,2021-10-14 14:05:00+00:00,2.0,43,0.0012975150415379666,-0.007654795851752216,0.0033243167800633966
baseline_no_shock,2021-2022,317,2021-10-14 19:20:00+00:00,2021-10-14 20:45:00+00:00,2.0,18,-0.005024110761762235,-0.005112665232023916,0.0
baseline_no_shock,2021-2022,319,2021-10-19 08:05:00+00:00,2021-10-19 11:30:00+00:00,2.0,42,-0.006918325525470226,-0.009651872366066572,0.0018390140705006885
baseline_no_shock,2021-2022,321,2021-10-19 14:00:00+00:00,2021-10-19 14:20:00+00:00,2.0,5,-0.009420696578032794,-0.009420696578032794,0.0005169783074621126
