seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe,variant,period
525,2022-03-07 23:50:00+00:00,2022-03-08 01:30:00+00:00,2.0,21,-0.026703504557340274,-0.026703504557340274,0.0021734672792039778,baseline_no_shock,2021-2022
523,2022-03-07 08:55:00+00:00,2022-03-07 12:55:00+00:00,2.0,49,-0.022819374665030034,-0.02320180925763793,0.008323393531802559,baseline_no_shock,2021-2022
531,2022-03-08 22:00:00+00:00,2022-03-09 01:25:00+00:00,2.0,30,-0.010998021723365392,-0.020561181108448734,0.00025636414273577657,baseline_no_shock,2021-2022
21,2021-01-25 14:35:00+00:00,2021-01-25 15:30:00+00:00,2.0,12,-0.017238299930364742,-0.02043210136682283,0.00367242012486213,baseline_no_shock,2021-2022
237,2021-08-04 11:40:00+00:00,2021-08-04 15:45:00+00:00,2.0,50,-0.01689410737512087,-0.0197729238785046,0.02617450268208188,baseline_no_shock,2021-2022
671,2022-08-02 14:20:00+00:00,2022-08-02 16:35:00+00:00,2.0,28,-0.019375112461723853,-0.019375112461723853,0.0,baseline_no_shock,2021-2022
227,2021-07-20 11:10:00+00:00,2021-07-20 15:15:00+00:00,2.0,50,-0.011752453705666022,-0.019342976885094565,0.014771520014171813,baseline_no_shock,2021-2022
69,2021-03-23 11:20:00+00:00,2021-03-23 13:40:00+00:00,2.0,29,-0.01618452975453588,-0.019140945056128067,0.0,baseline_no_shock,2021-2022
97,2021-04-19 08:20:00+00:00,2021-04-19 12:30:00+00:00,2.0,51,-0.015803978410542485,-0.01856369080540854,0.007180592375031658,baseline_no_shock,2021-2022
215,2021-07-13 12:35:00+00:00,2021-07-13 13:00:00+00:00,2.0,6,-0.01844018144539783,-0.01844018144539783,0.006006390912199677,baseline_no_shock,2021-2022
53,2021-03-15 13:35:00+00:00,2021-03-15 15:15:00+00:00,2.0,21,-0.010573546209937557,-0.017811183082325988,0.0016926185389118942,baseline_no_shock,2021-2022
205,2021-07-08 13:05:00+00:00,2021-07-08 14:30:00+00:00,2.0,18,-0.01766371571550407,-0.01766371571550407,0.0002647275223512935,baseline_no_shock,2021-2022
325,2021-10-21 10:05:00+00:00,2021-10-21 11:50:00+00:00,2.0,22,-0.01616234828449159,-0.01761923601717852,0.0,baseline_no_shock,2021-2022
737,2022-11-01 12:35:00+00:00,2022-11-01 14:50:00+00:00,2.0,28,-0.010974937513059668,-0.01734721387378335,0.0022024647499712113,baseline_no_shock,2021-2022
151,2021-05-20 17:05:00+00:00,2021-05-20 19:25:00+00:00,2.0,29,-0.01362203675148832,-0.01724170752733789,0.0,baseline_no_shock,2021-2022
385,2021-12-07 13:20:00+00:00,2021-12-07 14:05:00+00:00,2.0,10,-0.014278165713084379,-0.016813160381735637,0.0,baseline_no_shock,2021-2022
25,2021-02-01 06:20:00+00:00,2021-02-01 10:35:00+00:00,2.0,52,-0.014173336111417023,-0.016773704616113494,0.010627193358745401,baseline_no_shock,2021-2022
187,2021-07-01 12:20:00+00:00,2021-07-01 15:45:00+00:00,2.0,42,-0.01191053770435524,-0.016717035511164435,0.008679703840229092,baseline_no_shock,2021-2022
389,2021-12-08 11:05:00+00:00,2021-12-08 12:35:00+00:00,2.0,19,-0.015560805111662357,-0.016535146499869535,0.0,baseline_no_shock,2021-2022
541,2022-03-22 04:10:00+00:00,2022-03-22 08:15:00+00:00,2.0,50,-0.015520320450623348,-0.015520320450623348,0.0029570167879005016,baseline_no_shock,2021-2022
309,2021-10-12 11:10:00+00:00,2021-10-12 17:00:00+00:00,2.0,71,-0.003242731787567621,-0.015177125903103272,0.01150646763330454,baseline_no_shock,2021-2022
153,2021-05-21 11:20:00+00:00,2021-05-21 15:20:00+00:00,2.0,49,-0.007326118203023535,-0.014939337319724744,0.01631155127136208,baseline_no_shock,2021-2022
243,2021-08-12 23:05:00+00:00,2021-08-16 03:40:00+00:00,2.0,332,0.04504297029941018,-0.0032789643857353834,0.05571354736348688,baseline_no_shock,2021-2022
233,2021-07-28 22:35:00+00:00,2021-07-29 20:20:00+00:00,2.0,262,0.04036655421255819,-3.930244063243826e-05,0.0483626357592275,baseline_no_shock,2021-2022
137,2021-05-14 10:50:00+00:00,2021-05-17 09:20:00+00:00,2.0,259,0.030818503187600044,-0.00012451920479839007,0.038692511726321266,baseline_no_shock,2021-2022
495,2022-02-17 04:20:00+00:00,2022-02-18 02:00:00+00:00,2.0,249,0.027862523714897502,-0.0037573393803567168,0.048942432445066464,baseline_no_shock,2021-2022
673,2022-08-04 01:50:00+00:00,2022-08-04 23:05:00+00:00,2.0,244,0.037859993225543453,-0.0014238384712976782,0.0427295849342495,baseline_no_shock,2021-2022
49,2021-03-10 16:05:00+00:00,2021-03-11 11:40:00+00:00,2.0,224,0.02838695635678934,-0.007329112180044284,0.04066404292237946,baseline_no_shock,2021-2022
521,2022-03-04 09:45:00+00:00,2022-03-07 05:00:00+00:00,1.0,220,0.03666563467866202,-0.002445771311726519,0.04485725753951808,baseline_no_shock,2021-2022
613,2022-06-02 09:50:00+00:00,2022-06-03 04:10:00+00:00,2.0,209,0.02168418392475502,-0.004846960830376057,0.03022015529834632,baseline_no_shock,2021-2022
409,2021-12-16 21:35:00+00:00,2021-12-17 15:30:00+00:00,2.0,204,0.018021778396290156,-0.0017930383378546022,0.028454943669575794,baseline_no_shock,2021-2022
201,2021-07-05 22:35:00+00:00,2021-07-06 15:15:00+00:00,1.0,201,0.009940679423024568,-0.000907185202575711,0.020233973369515823,baseline_no_shock,2021-2022
505,2022-02-23 23:35:00+00:00,2022-02-24 14:45:00+00:00,2.0,183,0.04508631477223335,-0.0008251646288501835,0.10688604136201563,baseline_no_shock,2021-2022
